[25.  6. 36. 10. 35. 24.],2
[ 1. 16. 14. 20.  2. 47.],1
[24.  2. 29.  6. 35. 19.],2
[25.  3. 31. 11. 36. 13.],2
[24.  2. 34. 11. 35. 20.],2
[ 1.  7. 12. 17.  7. 31.],1
[ 1. 11. 12. 24.  6. 34.],1
[24.  5. 28. 14. 35. 22.],2
[ 1. 19. 10. 28.  2. 61.],1
[10.  8. 11. 15. 16. 28.],1
[26.  2. 25.  9. 37. 17.],2
[24.  2. 35. 10. 36. 17.],2
[26.  7. 42. 25. 36. 28.],2
[26.  7. 37. 13. 39. 34.],2
[ 2. 17.  5. 25.  5. 43.],1
[ 1.  9. 15. 26.  7. 34.],1
[25.  1. 26.  7. 35. 12.],2
[ 5.  9. 14. 22. 12. 35.],1
[ 1. 18.  8. 20.  2. 50.],1
[ 1. 17.  7. 21.  7. 34.],1
[26.  1. 39. 12. 36. 18.],2
[24.  3. 32.  9. 35. 18.],2
[ 1. 15. 10. 22.  7. 39.],1
[24.  7. 28. 14. 35. 27.],2
[25.  3. 27. 11. 35. 20.],2
[24.  6. 29. 11. 37. 25.],2
[ 2. 14. 12. 16.  4. 47.],1
[ 1. 14.  6. 16.  3. 35.],1
[26.  2. 35.  6. 37. 23.],2
[25.  5. 28. 14. 36. 27.],2
[26.  7. 22. 14. 36. 22.],2
[ 6. 10. 10. 16. 12. 26.],1
[ 1. 14. 15. 21.  3. 39.],1
[25.  4. 31.  9. 36. 17.],2
[25.  2. 39.  7. 37. 24.],2
[ 1. 10.  5. 16.  7. 33.],1
[ 2. 16.  9. 27.  4. 46.],1
[25.  4. 36. 12. 35. 22.],2
[ 1. 14. 13. 19.  5. 51.],1
[ 1. 14. 14. 19.  5. 51.],1
[25.  5. 25. 17. 38. 24.],2
[24.  6. 25. 17. 37. 25.],2
[ 2. 12.  8. 20.  7. 40.],1
[ 1. 20. 12. 34.  3. 49.],1
[25.  4. 39. 11. 36. 19.],2
[ 5. 12. 11. 29.  9. 32.],1
[ 1. 17. 13. 27.  3. 51.],1
[ 2. 21.  7. 28.  2. 54.],1
[ 3. 10. 18. 17.  7. 31.],1
[ 1. 16. 10. 26.  1. 43.],1
[26.  7. 30. 10. 38. 24.],2
[24.  2. 42.  4. 36. 21.],2
[ 1. 12.  9. 22.  2. 48.],1
[24.  6. 31. 11. 36. 25.],2
[ 2. 16.  7. 23.  5. 34.],1
[26.  5. 36. 17. 38. 26.],2
[24.  6. 24. 13. 36. 29.],2
[ 1. 15. 13. 32.  7. 44.],1
[ 1. 14.  7. 28.  4. 49.],1
[ 2. 19. 12. 39.  3. 45.],1
[23.  5. 33. 13. 36. 18.],2
[ 2. 15. 10. 35.  5. 50.],1
[25.  6. 31. 14. 36. 25.],2
[24.  7. 29. 12. 40. 25.],2
[ 5. 10.  8. 16. 11. 31.],1
[25.  4. 34.  9. 36. 17.],2
[ 1. 14. 16. 18.  7. 37.],1
[ 1. 12. 12. 15.  7. 34.],1
[26.  2. 37.  7. 36. 15.],2
[24.  7. 26. 12. 35. 32.],2
[24.  0. 31.  5. 35. 15.],2
[25.  4. 35.  7. 36. 18.],2
[ 2. 16. 14. 21.  4. 50.],1
[26.  7. 30. 11. 37. 29.],2
[25.  3. 26.  6. 38. 13.],2
[24.  2. 40.  9. 36. 10.],2
[24.  7. 32. 12. 38. 31.],2
[ 1. 10. 12. 21.  6. 32.],1
[24.  3. 40. 15. 35. 25.],2
[ 1.  8. 14. 19.  8. 28.],1
[ 4.  7. 16. 14. 11. 34.],1
[ 2. 15. 15. 22.  5. 37.],1
[ 3. 10.  9. 20.  7. 41.],1
[ 0.  9.  3. 19.  5. 26.],1
[ 2.  5.  7. 21.  6. 29.],1
[ 8.  7. 13. 19. 12. 39.],1
[ 1. 15. 12. 29.  2. 34.],1
[24.  7. 31. 12. 40. 26.],2
[26.  4. 32. 13. 36. 18.],2
[ 7.  9. 16. 15. 14. 28.],1
[25.  2. 20. 11. 35. 17.],2
[ 1. 20.  8. 30.  4. 45.],1
[24.  2. 40.  6. 38. 18.],2
[25.  2. 19. 16. 35. 17.],2
[ 7. 13. 17. 21. 14. 44.],1
[25.  2. 28. 15. 36. 11.],2
[24.  3. 32. 16. 36. 20.],2
[ 1. 18. 16. 27.  3. 47.],1
[ 1.  7. 10.  9.  1. 20.],1
[24.  2. 50.  7. 35. 22.],2
[ 1. 15. 10. 29.  4. 41.],1
[ 1.  8. 16. 16.  8. 30.],1
[24.  4. 35. 14. 40. 26.],2
[ 2. 12. 15. 20.  6. 37.],1
[25.  6. 41. 12. 37. 19.],2
